Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,6,Montana,69.0,124.0,0.83,65.3,81.2,49.4
2021,6,Nebraska,293.0,13.0,2.22,72.8,86.9,58.7
2021,6,Nevada,542.0,5.0,0.17,72.6,88.8,56.3
2021,6,New Hampshire,91.0,28.0,2.22,66.1,78.4,53.8
2021,6,New Jersey,195.0,4.0,3.37,71.8,82.6,61.0
2021,6,New Mexico,284.0,9.0,1.72,73.1,88.7,57.4
2021,6,New York,151.0,10.0,3.36,67.1,78.4,55.8
2021,6,North Carolina,280.0,2.0,6.25,73.8,83.7,64.0
2021,6,North Dakota,178.0,43.0,2.49,69.3,84.2,54.4
2021,6,Ohio,206.0,11.0,4.25,71.5,81.8,61.2
2021,6,Oklahoma,367.0,0.0,5.04,77.4,88.4,66.3
2021,6,Oregon,73.0,59.0,0.97,65.2,80.2,50.2
2021,6,Pennsylvania,166.0,13.0,3.54,68.6,80.1,57.1
2021,6,Rhode Island,146.0,8.0,2.31,69.6,79.7,59.4
2021,6,South Carolina,349.0,0.0,6.09,76.8,86.4,67.1
2021,6,South Dakota,243.0,30.0,1.19,72.3,87.4,57.1
2021,6,Tennessee,275.0,0.0,4.52,74.0,84.3,63.7
2021,6,Texas,479.0,0.0,4.05,80.3,91.2,69.4
2021,6,Utah,196.0,49.0,0.25,71.9,87.6,56.3
2021,6,Vermont,68.0,45.0,2.97,65.4,77.3,53.5
2021,6,Virginia,236.0,2.0,4.09,72.0,82.7,61.2
2021,6,Washington,62.0,78.0,1.41,64.6,77.8,51.4
2021,6,West Virginia,164.0,17.0,4.94,69.2,80.6,57.7
2021,6,Wisconsin,187.0,25.0,3.9,69.4,81.5,57.2
2021,6,Wyoming,107.0,91.0,0.82,64.9,81.3,48.5
2021,7,Alabama,431.0,0.0,7.49,79.3,88.5,70.1
2021,7,Alaska,,,3.49,53.9,61.3,46.5
2021,7,Arizona,666.0,0.0,3.82,81.4,94.2,68.7
2021,7,Arkansas,432.0,0.0,4.72,79.4,89.4,69.3
2021,7,California,344.0,0.0,0.29,79.8,94.2,65.4
2021,7,Colorado,168.0,7.0,2.15,70.0,84.6,55.3
2021,7,Connecticut,208.0,1.0,9.35,71.1,79.9,62.3
2021,7,Delaware,380.0,0.0,5.24,77.7,87.2,68.1
2021,7,Florida,533.0,0.0,8.86,81.9,90.2,73.6
2021,7,Georgia,402.0,0.0,7.3,79.3,88.6,70.0
2021,7,Hawaii,,,4.3,69.8,76.9,62.7
2021,7,Idaho,358.0,5.0,0.58,71.8,88.0,55.6
